modelId,make_model
2201.0,BMW X2
1020.0,Mercedes-Benz CLA
2212.0,Alfa Romeo Stelvio
1325.0,BMW 3 Series
2270.0,Audi Q8
860.0,Honda Ridgeline
909.0,Toyota Corolla
894.0,Toyota Tundra
1335.0,BMW 5 Series
1667.0,Volkswagen Jetta
969.0,Ford Mustang
1550.0,Mazda CX-5
1809.0,Mitsubishi Lancer
1064.0,Hyundai Tucson
2258.0,Ram 1500 Classic
1883.0,Lexus LS 460
1268.0,Chevrolet Traverse
1539.0,Cadillac Escalade ESV
2441.0,Ford F-150 Lightning
886.0,Toyota Highlander
1290.0,Chrysler PT Cruiser
2130.0,Nissan Titan XD
1048.0,Hyundai Equus
,Ford Transit Chassis
1526.0,Cadillac Escalade
899.0,Toyota Sequoia
1780.0,Volvo XC60
882.0,Toyota FJ Cruiser
2555.0,Lexus RX 350h
1616.0,Infiniti QX50
1035.0,Mercedes-Benz M-Class
2381.0,Mazda Mazda3 Hatchback
2182.0,Toyota C-HR
2358.0,MINI Hardtop 2 Door
1307.0,Chrysler 300
2279.0,Infiniti QX60
2089.0,Lexus RC 350
907.0,Toyota Prius c
2420.0,Chevrolet Bolt EUV
1294.0,Chrysler Voyager
1090.0,Subaru Impreza
902.0,Toyota Prius v
1049.0,Hyundai Santa Fe Sport
1196.0,Lincoln MKX
1790.0,Scion xB
1880.0,Porsche 911
2025.0,BMW i3
1317.0,BMW X6
1331.0,BMW Z4
1062.0,Hyundai Veloster Turbo
892.0,Toyota Land Cruiser
2306.0,Volkswagen Arteon
2524.0,Mercedes-Benz EQB
2205.0,Ford EcoSport
2392.0,Volkswagen Jetta GLI
2303.0,Ford Escape Plug-In Hybrid
1887.0,Lexus SC 430
2648.0,Lexus TX 350
2411.0,Genesis GV70
1392.0,Jaguar XK
2117.0,Lexus RC 200t
1033.0,Mercedes-Benz GL-Class
1338.0,BMW 1 Series
1656.0,Volkswagen Touareg
2213.0,Honda Clarity Plug-In Hybrid
1723.0,Kia Forte
1039.0,Land Rover Range Rover
2082.0,Mercedes-Benz GLA
2371.0,Ford Bronco Sport
1512.0,Nissan Sentra
1418.0,Dodge Grand Caravan
1381.0,Audi A5
1881.0,Porsche Macan
1412.0,Jeep Compass
1047.0,Land Rover Discovery
1511.0,Nissan Altima
1014.0,Mercedes-Benz CLS
1399.0,Jaguar F-TYPE
2127.0,Cadillac XT5
1131.0,GMC Terrain
876.0,Toyota Venza
1774.0,Volvo XC90
1715.0,Ram 2500
973.0,Ford F-250
980.0,Ford Ranger
1123.0,GMC Sierra 2500HD
1083.0,Subaru BRZ
1357.0,Audi A3
885.0,Toyota Prius
2404.0,Volkswagen ID.4
1487.0,Nissan Rogue
2564.0,Toyota GR Corolla
998.0,Ford Transit Connect
1042.0,Land Rover Range Rover Sport
1346.0,Acura MDX
1089.0,Subaru Forester
