vin,year,make,model,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted
W1N4M4GB4MW095064,2021,Mercedes-Benz,GLB,used,2356.0,suv,51482.0,27499
19UUB3F57FA003319,2015,Acura,TLX,used,2060.0,sedan,73390.0,16499
5UXWX9C52F0D57109,2015,BMW,X3,used,1323.0,suv,81653.0,14499
JTHBA1D28H5060662,2017,Lexus,IS 200t,used,2109.0,sedan,41763.0,22399
WBXYH9C09L5P32701,2020,BMW,X2,used,2201.0,suv,55228.0,21995
WDDSJ4EB4KN711395,2019,Mercedes-Benz,CLA,used,1020.0,sedan,78233.0,17499
ZASPAJAN6L7C95829,2020,Alfa Romeo,Stelvio,used,2212.0,crossover,24165.0,23799
WBA8E9G55GNT44685,2016,BMW,3 Series,used,1325.0,sedan,74694.0,15499
3FA6P0HD6GR149090,2016,Ford,Fusion,used,965.0,sedan,124636.0,7499
5YJSA1DP6DFP20512,2013,Tesla,Model S,used,2006.0,sedan,34527.0,25299
3C4PDCAB4JT527743,2018,Dodge,Journey,used,1469.0,suv,58624.0,11199
5LMCJ3C93HUL27530,2017,Lincoln,MKC,used,2024.0,suv,55418.0,17199
JTHP9JBH4L2026718,2020,Lexus,UX 250h,used,2267.0,crossover,56838.0,24599
1FTFW1E8XMKD27027,2021,Ford,F-150,used,957.0,truck,93153.0,30199
JTHAA1D22L5103266,2020,Lexus,IS 300,used,1893.0,sedan,36381.0,23599
JTHBW1GG7H2159273,2017,Lexus,ES 300h,used,1916.0,sedan,51100.0,21599
ZAM57XSAXF1133170,2015,Maserati,Ghibli,used,1755.0,sedan,52012.0,18999
3KPF54AD1NE504673,2022,Kia,Forte,used,1723.0,sedan,8673.0,20299
KNDJ23AU0M7748830,2021,Kia,Soul,used,1737.0,crossover,51521.0,15495
3KPF24AD5KE120139,2019,Kia,Forte,used,1723.0,sedan,102615.0,10699
1FM5K7BH1HGC03151,2017,Ford,Explorer,used,961.0,suv,68919.0,15499
3VV3B7AX6MM100670,2021,Volkswagen,Tiguan,used,1657.0,suv,58481.0,20698
4T1B11HK7KU200818,2019,Toyota,Camry,used,883.0,sedan,41377.0,18788
4JGDA6EB2JB177467,2018,Mercedes-Benz,GLE,used,2099.0,suv,74832.0,29998
KM8K53A54LU448742,2020,Hyundai,Kona,used,2224.0,suv,79662.0,15589
1GKKNLLS2KZ106994,2019,GMC,Acadia,used,1133.0,suv,38236.0,21899
5FNRL6H71JB023051,2018,Honda,Odyssey,used,857.0,minivan,45443.0,23999
4JGDF6EE3KB193027,2019,Mercedes-Benz,GLS,used,2128.0,suv,60226.0,34599
5NPEG4JA1MH088520,2021,Hyundai,Sonata,used,1066.0,sedan,29498.0,18498
SALGS2SE5MA422948,2021,Land Rover,Range Rover,used,1039.0,suv,81603.0,54499
19UUB1F50LA007549,2020,Acura,TLX,used,2060.0,sedan,85120.0,15999
3CZRU6H32MM718501,2021,Honda,HR-V,used,2092.0,crossover,44567.0,17499
3GCUYAEF2LG335340,2020,Chevrolet,Silverado 1500,used,1279.0,truck,39977.0,27749
5NMS2CAD7LH172018,2020,Hyundai,Santa Fe,used,1056.0,suv,89289.0,15899
5UXTR9C55JLD60803,2018,BMW,X3,used,1323.0,suv,48184.0,24499
KNAE15LA2K6067796,2019,Kia,Stinger,used,2200.0,sedan,55232.0,20499
ZASPAJAN0M7D16997,2021,Alfa Romeo,Stelvio,used,2212.0,crossover,26941.0,27999
1FTFW1RG9HFC57827,2017,Ford,F-150,used,957.0,truck,114767.0,35999
JTJBM7FX6K5212284,2019,Lexus,GX 460,used,1886.0,suv,56284.0,31995
WAUWGAFC9GN018598,2016,Audi,A7,used,1388.0,sedan,94861.0,19499
3CZRU5H52NM730189,2022,Honda,HR-V,used,2092.0,crossover,30421.0,19489
5FNYF5H52LB006192,2020,Honda,Pilot,used,865.0,suv,33200.0,26999
5N1AZ2MJ1KN124420,2019,Nissan,Murano,used,1496.0,suv,43966.0,21799
WA1EVAF13KD043024,2019,Audi,Q8,used,2270.0,suv,56326.0,41999
WA1VAAGE0KB013133,2019,Audi,e-tron,used,2301.0,suv,26927.0,31998
WDDKJ5KB9DF203561,2013,Mercedes-Benz,E-Class,used,1030.0,coupe,71710.0,13199
3TYSX5EN1NT012415,2022,Toyota,Tacoma,used,906.0,truck,21461.0,23995
KMHG34JA1HU023498,2017,Genesis,G90,used,2151.0,sedan,52968.0,22995
5FPYK3F51MB018829,2021,Honda,Ridgeline,used,860.0,truck,12369.0,30199
WDCTG4EB6KJ576158,2019,Mercedes-Benz,GLA,used,2082.0,suv,77735.0,17997
1C4RJJAG3M8191605,2021,Jeep,Grand Cherokee L,used,2408.0,suv,37197.0,30399
WAUGFAFC6EN115584,2014,Audi,A6,used,1386.0,sedan,78247.0,11989
ZAM56RPA3G1190934,2016,Maserati,Quattroporte,used,1758.0,sedan,56082.0,21799
3GCUKTEJ7GG144116,2016,Chevrolet,Silverado 1500,used,1279.0,truck,92341.0,26999
5YFB4MDEXPP066615,2023,Toyota,Corolla,used,909.0,sedan,2720.0,19789
1FMJU1FT7MEA76755,2021,Ford,Expedition,used,944.0,suv,9003.0,37999
5TFCY5F1XLX026555,2020,Toyota,Tundra,used,894.0,truck,107436.0,23999
5TFUY5F11LX905012,2020,Toyota,Tundra,used,894.0,truck,74457.0,29199
1FMCU0H61NUA18044,2022,Ford,Escape,used,975.0,suv,24343.0,17999
2T3P1RFV9MW221116,2021,Toyota,RAV4,used,880.0,suv,32229.0,24199
1N6AA1EE7MN525414,2021,Nissan,Titan,used,1506.0,truck,26714.0,28199
2HGFC1E59KH703298,2019,Honda,Civic,used,862.0,sedan,41640.0,22139
5NPD84LF5LH627463,2020,Hyundai,Elantra,used,1058.0,sedan,55791.0,12995
1G6DW5RKXL0150366,2020,Cadillac,CT5,used,2333.0,sedan,25918.0,26599
5TFRX5GN9JX105842,2018,Toyota,Tacoma,used,906.0,truck,85333.0,19499
WAUANCF50KA025386,2019,Audi,A5 Sportback,used,2172.0,sedan,30949.0,24179
1ZVHT88S285192273,2008,Ford,Shelby GT500,used,994.0,coupe,59578.0,27999
3FMCR9B66MRA66966,2021,Ford,Bronco Sport,used,2371.0,suv,38787.0,23399
3N1AB8CV0NY231100,2022,Nissan,Sentra,used,1512.0,sedan,44493.0,16499
3TYRX5GNXLT004919,2020,Toyota,Tacoma,used,906.0,truck,76549.0,20899
5NPLM4AG8NH058548,2022,Hyundai,Elantra,used,1058.0,sedan,30949.0,16999
1FTFW1E51JKE52497,2018,Ford,F-150,used,957.0,truck,84442.0,22989
KNDPU3AF2P7034739,2023,Kia,Sportage,used,1729.0,suv,15904.0,21899
1C6SRFFT7LN283370,2020,Ram,1500,used,1711.0,truck,53849.0,29249
3VV8B7AX2NM002064,2022,Volkswagen,Tiguan,used,1657.0,suv,13698.0,25999
JTDEPMAEXMJ125896,2021,Toyota,Corolla,used,909.0,sedan,55182.0,14799
WBAXH5C5XDDW16876,2013,BMW,5 Series,used,1335.0,sedan,88602.0,10749
WBAYA8C53DC996756,2013,BMW,7 Series,used,1336.0,sedan,69011.0,15699
LRBFZNR49PD078331,2023,Buick,Envision,used,2129.0,suv,4053.0,28699
WAUENAF43KA052823,2019,Audi,A4,used,1373.0,sedan,43318.0,21299
WDDWJ8GB6JF627030,2018,Mercedes-Benz,C-Class,used,1018.0,coupe,74091.0,41998
WAU3GAFCXDN030208,2013,Audi,A7,used,1388.0,sedan,86065.0,16999
5XXG14J27MG059263,2021,Kia,K5,used,2369.0,sedan,64853.0,16990
3TMBZ5DN1LM026559,2020,Toyota,Tacoma,used,906.0,truck,102661.0,22399
JA4ATUAA3PZ050434,2023,Mitsubishi,Eclipse Cross,used,2231.0,crossover,2900.0,22699
2C3CDZFJ8LH104231,2020,Dodge,Challenger,used,1440.0,coupe,57905.0,34599
4T1BZ1HK3JU019741,2018,Toyota,Camry,used,883.0,sedan,49205.0,22399
3VWCB7BU1KM232586,2019,Volkswagen,Jetta,used,1667.0,sedan,33047.0,15499
1VWMA7A34LC002429,2020,Volkswagen,Passat,used,1645.0,sedan,89312.0,14599
58ABZ1B12KU039764,2019,Lexus,ES 350,used,1889.0,sedan,96651.0,24799
2C4RDGEGXJR275456,2018,Dodge,Grand Caravan,used,1418.0,minivan,104166.0,11299
3C4PDCGB1LT194203,2020,Dodge,Journey,used,1469.0,suv,51192.0,15599
1FA6P8TH6L5153906,2020,Ford,Mustang,used,969.0,coupe,27381.0,22899
2C4RC1BG2NR144712,2022,Chrysler,Pacifica,used,1297.0,minivan,44850.0,24999
WAULFAFR6DA000721,2013,Audi,A5,used,1381.0,coupe,78832.0,11199
WP1AB2A51HLB18913,2017,Porsche,Macan,used,1881.0,suv,94552.0,21899
4T1B11HK5KU193447,2019,Toyota,Camry,used,883.0,sedan,85634.0,14698
4T1G11AK3NU018991,2022,Toyota,Camry,used,883.0,sedan,35673.0,21449
WDDHF5KB4DA670976,2013,Mercedes-Benz,E-Class,used,1030.0,sedan,79151.0,12149
WDDKJ7DB1DF194914,2013,Mercedes-Benz,E-Class,used,1030.0,coupe,103431.0,12499
3FMTK1RM7MMA00823,2021,Ford,Mustang Mach-E,used,2367.0,suv,48158.0,27499
1GCHSBEA0L1115545,2020,Chevrolet,Colorado,used,1238.0,truck,125598.0,12498
1N6ED1EK9NN693300,2022,Nissan,Frontier,used,1501.0,truck,21476.0,27299
ZAM45VLA1E0096826,2014,Maserati,GranTurismo,used,1754.0,coupe,67381.0,31499
