year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2021,2356.0,51482.0,27499,4.0,2.0,221.0,258.0,31.0,23.0,26,2,7,3,4,9,2,31
2015,2060.0,73390.0,16499,6.0,3.5,290.0,267.0,31.0,21.0,0,2,6,0,4,10,0,30
2015,1323.0,81653.0,14499,4.0,2.0,240.0,260.0,28.0,21.0,3,2,7,3,4,9,0,31
2017,2109.0,41763.0,22399,4.0,2.0,241.0,258.0,32.0,22.0,21,2,6,3,4,9,3,30
2020,2201.0,55228.0,21995,4.0,2.0,228.0,258.0,32.0,24.0,3,2,7,3,4,9,2,31
2019,1020.0,78233.0,17499,4.0,2.0,208.0,258.0,37.0,24.0,26,2,6,3,4,7,2,30
2020,2212.0,24165.0,23799,4.0,2.0,280.0,306.0,29.0,22.0,1,2,2,3,4,9,3,32
2016,1325.0,74694.0,15499,4.0,2.0,240.0,255.0,34.0,22.0,3,2,6,3,4,9,3,55
2016,965.0,124636.0,7499,4.0,2.5,175.0,175.0,34.0,22.0,11,2,6,3,4,5,2,59
2013,2006.0,34527.0,25299,0.0,,,,,,36,2,6,4,1,1,3,45
2018,1469.0,58624.0,11199,4.0,2.4,173.0,166.0,25.0,19.0,9,2,7,3,4,2,2,0
2017,2024.0,55418.0,17199,4.0,2.0,240.0,270.0,28.0,21.0,22,2,7,3,4,5,2,31
2020,2267.0,56838.0,24599,4.0,2.0,181.0,,38.0,41.0,21,2,2,3,5,11,0,53
2021,957.0,93153.0,30199,,,,,,,11,2,8,0,8,0,1,59
2020,1893.0,36381.0,23599,4.0,2.0,241.0,258.0,30.0,21.0,21,2,6,3,4,9,3,30
2017,1916.0,51100.0,21599,4.0,2.5,200.0,,39.0,40.0,21,2,6,3,5,11,2,52
2015,1755.0,52012.0,18999,6.0,3.0,345.0,369.0,25.0,15.0,24,2,6,0,4,9,3,49
2022,1723.0,8673.0,20299,4.0,2.0,147.0,132.0,39.0,29.0,19,2,6,3,4,11,2,59
2021,1737.0,51521.0,15495,4.0,2.0,147.0,132.0,,,19,2,2,3,4,11,2,59
2019,1723.0,102615.0,10699,4.0,2.0,147.0,132.0,,,19,2,6,3,4,13,2,59
2017,961.0,68919.0,15499,6.0,3.5,290.0,255.0,24.0,17.0,11,2,7,0,3,5,2,12
2021,1657.0,58481.0,20698,4.0,2.0,184.0,221.0,29.0,23.0,38,2,7,3,4,9,2,0
2019,883.0,41377.0,18788,4.0,2.5,203.0,184.0,,,37,2,6,3,4,9,2,59
2018,2099.0,74832.0,29998,6.0,3.0,385.0,384.0,23.0,17.0,26,2,7,0,4,10,0,36
2020,2224.0,79662.0,15589,4.0,1.6,175.0,195.0,32.0,28.0,15,2,7,3,4,7,2,0
2019,1133.0,38236.0,21899,4.0,2.5,193.0,188.0,26.0,21.0,12,2,7,3,4,5,2,0
2018,857.0,45443.0,23999,6.0,3.5,280.0,262.0,28.0,19.0,14,2,4,0,4,10,2,59
2019,2128.0,60226.0,34599,6.0,3.0,362.0,369.0,22.0,16.0,26,2,7,0,4,10,0,31
2021,1066.0,29498.0,18498,4.0,2.5,191.0,181.0,38.0,28.0,15,2,6,3,4,9,2,59
2021,1039.0,81603.0,54499,8.0,5.0,518.0,461.0,21.0,16.0,20,2,7,0,4,9,1,46
2020,2060.0,85120.0,15999,4.0,2.4,206.0,182.0,33.0,23.0,0,2,6,3,4,9,2,30
2021,2092.0,44567.0,17499,4.0,1.8,141.0,127.0,31.0,27.0,14,2,2,3,4,11,0,0
2020,1279.0,39977.0,27749,6.0,4.3,285.0,305.0,20.0,15.0,7,2,8,0,3,5,1,11
2020,1056.0,89289.0,15899,4.0,2.4,185.0,178.0,27.0,21.0,15,2,7,3,4,9,0,0
2018,1323.0,48184.0,24499,4.0,2.0,248.0,258.0,29.0,22.0,3,2,7,3,4,9,0,31
2019,2200.0,55232.0,20499,4.0,2.0,255.0,260.0,29.0,,19,2,6,3,4,9,4,57
2021,2212.0,26941.0,27999,4.0,2.0,280.0,306.0,29.0,22.0,1,2,2,3,4,9,3,32
2017,957.0,114767.0,35999,6.0,3.5,450.0,510.0,18.0,15.0,11,2,8,0,4,0,1,5
2019,1886.0,56284.0,31995,8.0,4.6,301.0,329.0,18.0,15.0,21,2,7,0,4,5,1,30
2016,1388.0,94861.0,19499,6.0,3.0,333.0,325.0,30.0,20.0,2,2,6,0,4,9,0,55
2022,2092.0,30421.0,19489,4.0,1.8,141.0,127.0,34.0,28.0,14,2,2,3,4,11,2,0
2020,865.0,33200.0,26999,6.0,3.5,280.0,262.0,27.0,19.0,14,2,7,0,4,5,2,0
2019,1496.0,43966.0,21799,6.0,3.5,260.0,240.0,28.0,20.0,28,2,7,0,4,11,2,0
2019,2270.0,56326.0,41999,6.0,3.0,335.0,369.0,22.0,17.0,2,2,7,0,6,9,0,32
2020,1667.0,68712.0,18999,4.0,2.0,228.0,258.0,32.0,25.0,38,2,6,3,4,7,2,57
2019,2301.0,26927.0,31998,0.0,,,,,,2,2,7,4,1,1,0,32
2013,1030.0,71710.0,13199,6.0,3.5,302.0,273.0,28.0,20.0,26,2,1,0,4,7,3,45
2022,906.0,21461.0,23995,4.0,2.7,159.0,180.0,22.0,19.0,37,2,8,3,4,5,1,59
2017,2151.0,52968.0,22995,6.0,3.3,365.0,376.0,24.0,17.0,13,2,6,0,4,9,4,55
2021,860.0,12369.0,30199,6.0,3.5,280.0,262.0,24.0,18.0,14,2,8,0,4,10,0,0
2019,2082.0,77735.0,17997,4.0,2.0,208.0,258.0,33.0,24.0,26,2,7,3,4,7,2,31
2021,2408.0,37197.0,30399,6.0,3.6,290.0,257.0,26.0,19.0,18,2,7,0,4,9,3,59
2014,1386.0,78247.0,11989,4.0,2.0,220.0,258.0,29.0,20.0,2,2,6,3,4,9,0,30
2016,1758.0,56082.0,21799,6.0,3.0,404.0,406.0,23.0,16.0,24,2,6,0,4,9,3,49
2016,1279.0,92341.0,26999,8.0,5.3,355.0,383.0,22.0,16.0,7,2,8,0,4,9,1,59
2023,909.0,2720.0,19789,4.0,2.0,169.0,151.0,41.0,32.0,37,2,6,3,4,11,2,59
2015,1320.0,41478.0,16699,4.0,2.0,240.0,255.0,35.0,23.0,3,2,1,3,4,9,3,55
2021,944.0,9003.0,37999,6.0,3.5,375.0,470.0,23.0,17.0,11,2,7,0,4,0,3,59
2020,894.0,107436.0,23999,8.0,5.7,381.0,401.0,17.0,13.0,37,2,8,0,4,5,1,59
2020,894.0,74457.0,29199,8.0,5.7,381.0,401.0,17.0,13.0,37,2,8,0,4,5,1,59
2022,975.0,24343.0,17999,3.0,1.5,181.0,190.0,34.0,28.0,11,2,7,3,4,9,2,0
2021,880.0,32229.0,24199,4.0,2.5,203.0,184.0,33.0,27.0,37,2,7,3,4,9,0,0
2021,1506.0,26714.0,28199,8.0,5.6,400.0,413.0,21.0,15.0,28,2,8,0,4,10,3,59
2019,862.0,41640.0,22139,4.0,1.5,205.0,192.0,38.0,28.0,14,2,6,3,4,6,2,9
