make,model,modelId,make_model
Ford,Fusion,965.0,Ford Fusion
Hyundai,Sonata,1066.0,Hyundai Sonata
Honda,HR-V,2092.0,Honda HR-V
Audi,A7,1388.0,Audi A7
Nissan,Murano,1496.0,Nissan Murano
Ford,Escape,975.0,Ford Escape
Buick,Envision,2129.0,Buick Envision
Maserati,GranTurismo,1754.0,Maserati GranTurismo
Lexus,CT 200h,1919.0,Lexus CT 200h
Jeep,Grand Cherokee,1415.0,Jeep Grand Cherokee
Chevrolet,Malibu,1248.0,Chevrolet Malibu
Land Rover,Discovery,1047.0,Land Rover Discovery
Lexus,IS 350,1885.0,Lexus IS 350
GMC,Sierra 1500,1145.0,GMC Sierra 1500
Jeep,Cherokee,1408.0,Jeep Cherokee
Chevrolet,Traverse,1268.0,Chevrolet Traverse
Subaru,WRX,2031.0,Subaru WRX
Jeep,Renegade,2061.0,Jeep Renegade
Ford,F-150 Lightning,2441.0,Ford F-150 Lightning
Volkswagen,Atlas Cross Sport,2350.0,Volkswagen Atlas Cross Sport
Hyundai,Genesis,1052.0,Hyundai Genesis
FIAT,500e,1071.0,FIAT 500e
Chrysler,Pacifica Hybrid,2181.0,Chrysler Pacifica Hybrid
Ford,Explorer Hybrid,2277.0,Ford Explorer Hybrid
Chrysler,200,1301.0,Chrysler 200
Mercedes-Benz,GLC,2104.0,Mercedes-Benz GLC
Hyundai,Venue,2326.0,Hyundai Venue
Nissan,Maxima,1505.0,Nissan Maxima
Kia,Rio,1726.0,Kia Rio
Volvo,S60,1776.0,Volvo S60
Toyota,86,2149.0,Toyota 86
Hyundai,Veloster Turbo,1062.0,Hyundai Veloster Turbo
Ford,EcoSport,2205.0,Ford EcoSport
Volkswagen,Jetta GLI,2392.0,Volkswagen Jetta GLI
Ford,Escape Plug-In Hybrid,2303.0,Ford Escape Plug-In Hybrid
Ford,Flex,1005.0,Ford Flex
Chevrolet,HHR,1202.0,Chevrolet HHR
Chevrolet,SS,1212.0,Chevrolet SS
Ford,Crown Victoria,993.0,Ford Crown Victoria
Lexus,LS 500,2191.0,Lexus LS 500
Porsche,Boxster,1871.0,Porsche Boxster
BMW,X3 M,2312.0,BMW X3 M
Mazda,Mazda3 Sedan,2376.0,Mazda Mazda3 Sedan
Infiniti,Q50 Hybrid,1618.0,Infiniti Q50 Hybrid
Volkswagen,e-Golf,2065.0,Volkswagen e-Golf
Chevrolet,SSR,1244.0,Chevrolet SSR
Lexus,RX 400h,1908.0,Lexus RX 400h
Honda,Clarity Plug-In Hybrid,2213.0,Honda Clarity Plug-In Hybrid
Audi,RS 7,2053.0,Audi RS 7
Hyundai,Elantra GT,1060.0,Hyundai Elantra GT
Lexus,IS 200t,2109.0,Lexus IS 200t
Alfa Romeo,Stelvio,2212.0,Alfa Romeo Stelvio
Toyota,Camry,883.0,Toyota Camry
GMC,Acadia,1133.0,GMC Acadia
Honda,Pilot,865.0,Honda Pilot
Ford,Expedition,944.0,Ford Expedition
Toyota,Tundra,894.0,Toyota Tundra
Ford,Bronco Sport,2371.0,Ford Bronco Sport
Kia,Sportage,1729.0,Kia Sportage
BMW,5 Series,1335.0,BMW 5 Series
Kia,K5,2369.0,Kia K5
Audi,A5,1381.0,Audi A5
Chevrolet,Colorado,1238.0,Chevrolet Colorado
Nissan,LEAF,1497.0,Nissan LEAF
BMW,2 Series,1333.0,BMW 2 Series
BMW,M2,2126.0,BMW M2
Land Rover,Discovery Sport,2090.0,Land Rover Discovery Sport
Ford,Bronco,938.0,Ford Bronco
GMC,Terrain,1131.0,GMC Terrain
Buick,Verano,1939.0,Buick Verano
Infiniti,Q50,1617.0,Infiniti Q50
Ford,F-250 Super Duty,999.0,Ford F-250 Super Duty
Honda,CR-V Hybrid,2352.0,Honda CR-V Hybrid
Chevrolet,Silverado 1500 Limited,2436.0,Chevrolet Silverado 1500 Limited
Hyundai,Elantra Hybrid,2438.0,Hyundai Elantra Hybrid
Pontiac,Solstice,1681.0,Pontiac Solstice
Hyundai,Accent,1061.0,Hyundai Accent
Maserati,Levante,2133.0,Maserati Levante
Toyota,Corolla Cross Hybrid,2580.0,Toyota Corolla Cross Hybrid
Volvo,XC60,1780.0,Volvo XC60
Lexus,RC F,2088.0,Lexus RC F
Toyota,FJ Cruiser,882.0,Toyota FJ Cruiser
Jeep,Wrangler,1406.0,Jeep Wrangler
Nissan,Armada,1508.0,Nissan Armada
Smart,fortwo,2017.0,Smart fortwo
Chrysler,300,1307.0,Chrysler 300
Mazda,CX-30,2346.0,Mazda CX-30
Infiniti,QX55,2407.0,Infiniti QX55
Dodge,Durango,1419.0,Dodge Durango
