year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2021,Mercedes-Benz,used,2356.0,suv,51482.0,27499,4.0,2.0,inline,221.0,258.0,gas,8A,FWD,"Luxury,Crossover",31.0,23.0,3
2015,Acura,used,2060.0,sedan,73390.0,16499,6.0,3.5,V,290.0,267.0,gas,9A,AWD,Luxury,31.0,21.0,2
2015,BMW,used,1323.0,suv,81653.0,14499,4.0,2.0,inline,240.0,260.0,gas,8A,AWD,"Luxury,Crossover",28.0,21.0,2
2017,Lexus,used,2109.0,sedan,41763.0,22399,4.0,2.0,inline,241.0,258.0,gas,8A,RWD,Luxury,32.0,22.0,2
2020,BMW,used,2201.0,suv,55228.0,21995,4.0,2.0,inline,228.0,258.0,gas,8A,FWD,"Luxury,Crossover",32.0,24.0,2
2019,Mercedes-Benz,used,1020.0,sedan,78233.0,17499,4.0,2.0,inline,208.0,258.0,gas,7A,FWD,Luxury,37.0,24.0,2
2016,BMW,used,1325.0,sedan,74694.0,15499,4.0,2.0,inline,240.0,255.0,gas,8A,RWD,"Luxury,Performance",34.0,22.0,2
2016,Ford,used,965.0,sedan,124636.0,7499,4.0,2.5,inline,175.0,175.0,gas,6A,FWD,,34.0,22.0,1
2018,Dodge,used,1469.0,suv,58624.0,11199,4.0,2.4,inline,173.0,166.0,gas,4A,FWD,Crossover,25.0,19.0,1
2017,Lincoln,used,2024.0,suv,55418.0,17199,4.0,2.0,inline,240.0,270.0,gas,6A,FWD,"Luxury,Crossover",28.0,21.0,2
2020,Lexus,used,2267.0,crossover,56838.0,24599,4.0,2.0,inline,181.0,,hybrid,Continuously Variable,AWD,"Luxury,Hybrid,Crossover",38.0,41.0,2
2020,Lexus,used,1893.0,sedan,36381.0,23599,4.0,2.0,inline,241.0,258.0,gas,8A,RWD,Luxury,30.0,21.0,2
2017,Lexus,used,1916.0,sedan,51100.0,21599,4.0,2.5,inline,200.0,,hybrid,Continuously Variable,FWD,"Luxury,Hybrid",39.0,40.0,2
2022,Kia,used,1723.0,sedan,8673.0,20299,4.0,2.0,inline,147.0,132.0,gas,Continuously Variable,FWD,,39.0,29.0,2
2019,Kia,used,1723.0,sedan,102615.0,10699,4.0,2.0,inline,147.0,132.0,gas,,FWD,,,,1
2017,Ford,used,961.0,suv,68919.0,15499,6.0,3.5,V,290.0,255.0,flex-fuel (FFV),6A,FWD,"Flex Fuel,Crossover",24.0,17.0,2
2021,Volkswagen,used,1657.0,suv,58481.0,20698,4.0,2.0,inline,184.0,221.0,gas,8A,FWD,Crossover,29.0,23.0,2
2019,Toyota,used,883.0,sedan,41377.0,18788,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,,,2
2020,Hyundai,used,2224.0,suv,79662.0,15589,4.0,1.6,inline,175.0,195.0,gas,7A,FWD,Crossover,32.0,28.0,2
2021,Hyundai,used,1066.0,sedan,29498.0,18498,4.0,2.5,inline,191.0,181.0,gas,8A,FWD,,38.0,28.0,2
2021,Land Rover,used,1039.0,suv,81603.0,54499,8.0,5.0,V,518.0,461.0,gas,8A,AWD,"Luxury,High-Performance,Crossover",21.0,16.0,5
2020,Acura,used,2060.0,sedan,85120.0,15999,4.0,2.4,inline,206.0,182.0,gas,8A,FWD,Luxury,33.0,23.0,2
2018,BMW,used,1323.0,suv,48184.0,24499,4.0,2.0,inline,248.0,258.0,gas,8A,AWD,"Luxury,Crossover",29.0,22.0,2
2019,Kia,used,2200.0,sedan,55232.0,20499,4.0,2.0,inline,255.0,260.0,gas,8A,,Performance,29.0,,2
2021,Alfa Romeo,used,2212.0,crossover,26941.0,27999,4.0,2.0,inline,280.0,306.0,gas,8A,RWD,"Luxury,Crossover,Performance",29.0,22.0,3
2017,Ford,used,957.0,truck,114767.0,35999,6.0,3.5,V,450.0,510.0,gas,10A,AWD,Factory Tuner,18.0,15.0,3
2016,Audi,used,1388.0,sedan,94861.0,19499,6.0,3.0,V,333.0,325.0,gas,8A,AWD,"Luxury,Performance",30.0,20.0,2
2022,Honda,used,2092.0,crossover,30421.0,19489,4.0,1.8,inline,141.0,127.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,2
2019,Audi,used,2270.0,suv,56326.0,41999,6.0,3.0,V,335.0,369.0,mild hybrid,8A,AWD,"Luxury,Crossover,Performance",22.0,17.0,4
2019,Audi,used,2301.0,suv,26927.0,31998,0.0,,,,,electric,1D,AWD,"Luxury,Crossover,Performance",,,3
